collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主急,20,0,2,1.888770834221579,8.422846212251905,店主,1895-1911,2-gram,1.5254366562428496,13111,4
押店主,207,0,2,1.885155401027693,26.340278231586833,店主,1895-1911,2-gram,15.788269392113492,13111,4
店主案核,10,0,3,1.8820802608626503,4.2635997273904636,店主,1895-1911,3-gram,0.7627183281214248,13111,3
店主投,124,0,2,1.8659183598018103,20.3397902836397,店主,1895-1911,2-gram,9.457707268705667,13111,4
迨店主,18,0,2,1.8495780743747736,7.841810570103395,店主,1895-1911,2-gram,1.3728929906185645,13111,4
倒閉店主,8,0,2,1.7784387057114879,5.119621778798228,店主,1895-1911,2-gram,0.6101746624971398,13111,3
晨店主,21,0,2,1.7095397067822957,7.824688353984358,店主,1895-1911,2-gram,1.601708489054992,13111,4
當時店主,11,0,2,1.703130568440132,5.7062696422020585,店主,1895-1911,2-gram,0.8389901609335673,13111,5
店主自行,9,0,2,1.6922696508008914,5.154089049836371,店主,1895-1911,2-gram,0.6864464953092823,13111,4
店主弟,6,0,2,1.6474101374698988,4.153308467291338,店主,1895-1911,2-gram,0.45763099687285486,13111,3
店主囑,10,0,2,1.5272427876089378,4.897967734807578,店主,1895-1911,2-gram,0.7627183281214248,13111,3
逃店主,19,0,2,1.5182420084561326,6.631812934676531,店主,1895-1911,2-gram,1.449164823430707,13111,4
店主拘,88,0,2,1.4953634343685929,13.838144015534228,店主,1895-1911,2-gram,6.711921287468538,13111,5
告店主,15,0,2,1.4830583574068505,5.779349031672274,店主,1895-1911,2-gram,1.144077492182137,13111,5
店主尋,17,0,2,1.4722122344580404,6.094976621715375,店主,1895-1911,2-gram,1.296621157806422,13111,3
歇店主,7,0,2,1.4638620169346441,3.9714216976790326,店主,1895-1911,2-gram,0.5339028296849972,13111,3
交店主,129,0,2,1.4546106919813093,16.233083849911413,店主,1895-1911,2-gram,9.839066432766378,13111,4
問店主,29,0,2,1.4314688902738402,7.690170944498949,店主,1895-1911,2-gram,2.211883151552132,13111,4
