collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主指錯,5,0,3,7.7670518388259095,3.671675327756574,店主,1872-1894,3-gram,0.5166890565257828,9677,1
房租付店主,5,0,3,7.634285230182632,4.589184494523238,店主,1872-1894,3-gram,0.5166890565257828,9677,1
招牌答店主,5,0,3,7.622396568097198,3.7067583744274732,店主,1872-1894,3-gram,0.5166890565257828,9677,1
小的屢店主,6,0,3,7.530623298422684,4.849500798361751,店主,1872-1894,3-gram,0.6200268678309394,9677,1
捕頭店主指,5,0,3,7.49038029072093,4.511846729904595,店主,1872-1894,3-gram,0.5166890565257828,9677,1
兹萬泰店主,6,0,2,7.442471662425945,13.391040667334055,店主,1872-1894,2-gram,0.6200268678309394,9677,1
詐店主究,5,0,3,7.320733420374971,4.255990648584368,店主,1872-1894,3-gram,0.5166890565257828,9677,1
烟舘店主傳,5,0,3,7.212675972126419,3.5010794803578973,店主,1872-1894,3-gram,0.5166890565257828,9677,1
應店主物,5,0,3,7.177614555993845,7.511466168244937,店主,1872-1894,3-gram,0.5166890565257828,9677,1
萬泰店主早,6,0,2,7.166507543012315,12.900538297222502,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主物抵償,5,0,3,7.159543798777541,3.400789354722989,店主,1872-1894,3-gram,0.5166890565257828,9677,1
店主沈榮大,6,0,2,7.158892859787825,7.902194782556381,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主邱姓,6,0,2,7.158892859787825,7.902194782556381,店主,1872-1894,2-gram,0.6200268678309394,9677,1
回吳店主,5,0,3,7.123945815032335,4.397185246595639,店主,1872-1894,3-gram,0.5166890565257828,9677,1
債應店主,5,0,3,7.101639088857134,4.045268714524337,店主,1872-1894,3-gram,0.5166890565257828,9677,1
外唐永愼米店主,5,0,2,7.0390266271991395,7.640721502027437,店主,1872-1894,2-gram,0.5166890565257828,9677,1
答店主失,5,0,3,6.990194345548625,4.531661721476357,店主,1872-1894,3-gram,0.5166890565257828,9677,1
繕答店主,5,0,3,6.9520605991684015,3.3794153726522302,店主,1872-1894,3-gram,0.5166890565257828,9677,1
控余保大茶葉店主,5,0,2,6.934876424531845,10.137228192688246,店主,1872-1894,2-gram,0.5166890565257828,9677,1
曰店主押店,5,0,3,6.784157161628664,3.2973087229672875,店主,1872-1894,3-gram,0.5166890565257828,9677,1
揭帖店主家,5,0,3,6.7022403349888435,3.2244779126872096,店主,1872-1894,3-gram,0.5166890565257828,9677,1
萬元祥店主,6,0,2,6.651214513094745,8.935605512453673,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主錢承生,6,0,2,6.648066532050308,8.931381631606381,店主,1872-1894,2-gram,0.6200268678309394,9677,1
突店主饒舌,5,0,3,6.621198099253233,2.9983142713382134,店主,1872-1894,3-gram,0.5166890565257828,9677,1
住烟舘店主,5,0,3,6.56542922732144,3.7965916278756477,店主,1872-1894,3-gram,0.5166890565257828,9677,1
找店主婦,6,0,3,6.512352446602279,3.1828629009517337,店主,1872-1894,3-gram,0.6200268678309394,9677,1
店主揭帖繕,5,0,3,6.463386122262762,2.5911895696082423,店主,1872-1894,3-gram,0.5166890565257828,9677,1
竹器店主,7,0,2,6.458051927987803,9.973806259119428,店主,1872-1894,2-gram,0.7233646791360959,9677,1
辦貨店主,6,0,2,6.430008697347578,11.583648996896596,店主,1872-1894,2-gram,0.6200268678309394,9677,1
店主停歇收,5,0,3,6.419658927477537,3.960008321468676,店主,1872-1894,3-gram,0.5166890565257828,9677,1
屢店主呵斥,6,0,3,6.264402366848056,2.9168734082178767,店主,1872-1894,3-gram,0.6200268678309394,9677,1
曰萬泰店主,6,0,2,6.174020605236979,11.124260988899975,店主,1872-1894,2-gram,0.6200268678309394,9677,1
舊貨店主,5,0,2,6.147478019893608,8.988630204827533,店主,1872-1894,2-gram,0.5166890565257828,9677,1
店主朱少範,5,0,2,6.144330694932634,8.984034594340818,店主,1872-1894,2-gram,0.5166890565257828,9677,1
失竊店主失單,5,0,3,6.109092923097474,2.7680256684078994,店主,1872-1894,3-gram,0.5166890565257828,9677,1
