Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0.0025660191905826,1.3138283826205657e-5,0.00761202210624371,0.014287779121467715,0.05336731814491439,0.010207513697714596,0.6380298631319309,3.070091523953796e-4,1.2077135673888541e-5,0.2735972600352508
0.013239067655879079,0.18194395394133125,0.0011797563627533312,0.0032870674684938542,0.11954291951792012,0.04084448757530562,0.002841341279226065,0.6137219808212002,0.002816102999771601,0.02058332237811911
0.010219483737982583,0.0074696532849485575,0.010110694722624637,0.02128385458622839,0.012855690178311015,0.6736712912297937,0.21909632599364487,0.040362781801071196,0.004028915715217508,9.013087501778091e-4
0.4407022284788192,0.014933624559100887,0.021648182977184623,0.01454027586508239,0.28469578691351705,0.04563451487361783,0.12095707922723908,0.02454169868428973,0.010038865828509894,0.022307742592639387
0.002136753566446575,0.004470714352971014,6.2766788664312115e-6,4.661965945911579e-4,0.0037853879071621317,2.7775895806821804e-4,1.0534743358299876e-4,0.6294201788932268,0.023662017249346096,0.33566936836573863
0.015178530929254634,0.004080365837312885,5.780072954391645e-4,0.02019963916732468,0.1214546379698697,0.044062138341125434,0.005174505236883228,0.4871451213285697,0.004246692433247576,0.2978803614609731
0.005849592983563411,0.005484298890064743,0.0060126887739260625,0.20467325549292772,0.26505714070793224,0.03649189933784801,0.43754079702863746,0.02945480075252097,0.0036022162645577855,0.005833309768021654
0.007797248888700397,0.003427157150248338,7.494386802672047e-4,0.009098802871307462,0.22449545472469967,0.05668057547067249,0.004986369657825117,0.6841857083950097,0.0025958737067668615,0.0059833704545032545
0.010164181153009601,0.001650237957728878,0.0037262848850197665,0.01029008408182631,0.007537886756615659,0.9432604495211018,0.009324882202063652,0.013415896270866584,3.7422937236244915e-4,2.558677994056884e-4
0.022556680256185242,0.5116889274125068,0.01778424110413918,0.004249079718773712,0.24671181082737778,0.009125829038945219,0.07308931817743528,0.009666068200288782,0.093616466692143,0.011511578572204821
0.009108307239819367,0.010105927355704088,0.0071280131869850055,0.515238731493422,0.023625032689419727,0.16807699966821188,0.18816124095936673,0.07350674482248369,0.00305946374356886,0.0019895388410185472
0.0060640018338567435,0.002099572278359713,0.012800316070467553,0.7389048386360167,0.018982200194071187,0.16463493296413706,0.047540360390977476,0.008767429567174717,1.2122010761626407e-4,8.512795732319226e-5
0.019810529334939563,0.33794660914227853,0.010051192409120006,0.004285500193048879,0.4949402393722141,0.019636658159019996,0.1101017755338031,0.0011254641642061292,0.0016283050234200706,4.7372666794949937e-4
0.004376128436469416,0.013948388396540399,0.0021872396866724334,0.006320802107243907,0.05786762778814836,0.006305656633884287,0.7730409901445227,0.01673555228693941,0.07697417559819915,0.04224343892138014
0.02614617746278672,0.007031238249362119,0.0073315070969853955,0.009954953645348355,0.024646780501847817,0.7748265418913284,0.12123688276383147,0.021618647498384696,0.004879110818930523,0.002328160071194608
